,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,FALSE,TRUE,＄,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc
17,,,,,,,,,,,,,,,,,,,,,,,Shift 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,Shift 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,stmt→block,stmt→block,,,,,,,,,,,,,,,,stmt→block,,,,,stmt→block,stmt→block,stmt→block,stmt→block,stmt→block,stmt→block,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,stmts→stmtsstmt,stmts→stmtsstmt,,,,,,,,,,,,,,,,stmts→stmtsstmt,,,,,stmts→stmtsstmt,,stmts→stmtsstmt,stmts→stmtsstmt,stmts→stmtsstmt,stmts→stmtsstmt,,,,,,,,,,,,,,,,,,,,,,,
21,,,Shift 31,,,,,,,,,,,,,,,,,,Shift 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,block→{declsstmts},block→{declsstmts},,,,,,,,,,,,,,,,block→{declsstmts},,,,,block→{declsstmts},block→{declsstmts},block→{declsstmts},block→{declsstmts},block→{declsstmts},block→{declsstmts},,,block→{declsstmts},,,,,,,,,,,,,,,,,,,,
23,,,Shift 33,,,,,,,,,,,,,,,,,,Shift 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Shift 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Shift 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,Shift 9,,,,,,,,,,,,,,,,,Shift 23,,,,,Shift 24,,Shift 25,Shift 26,Shift 27,Shift 28,,,,,Shift 19,,,,,,Shift 37,Shift 21,,,,,,,,,,,
27,,,,,,,,,,,,Shift 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,Shift 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,Shift 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,decl→typeid;,decl→typeid;,,,,,,,,,,,,,,,,decl→typeid;,,,decl→typeid;,decl→typeid;,decl→typeid;,decl→typeid;,decl→typeid;,decl→typeid;,decl→typeid;,decl→typeid;,,,decl→typeid;,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,Shift 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
