,(,),[,],{,},+,-,*,/,!,;,<,>,<=,>=,==,!=,||,&&,=,id,num,real,float,int,if,else,while,do,break,continue,false,true,$,program,block,decls,decl,type,basic,stmts,stmt,loc,bool,join,equality,rel,expr,term,unary,factor,opa,opb,opc,M,N
54,,,,,,,s65,s66,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,
55,,s75,,,,,,,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,r24,,,,,,,,,,,,,,,,,r24,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,r26,,,,,,,,,,,,,,,,,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,s65,s66,,,,,s79,s80,s81,s82,s83,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,64,,,,
59,,r29,,,,,,,,,,,,,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,r28,,,,,,,,,,,,,,,,,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,s59,s60,,,,,,,,,,41,85,56,57,,58,43,44,45,,,46,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,r21,r21,,,,r21,r21,r21,r21,,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,,87,44,45,,,46,,
65,r47,,,,,,,r47,,,r47,,,,,,,,,,,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,r48,,,,,,,r48,,,r48,,,,,,,,,,,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,r13,r13,,,,,,,,,,,,,,,,r13,,,,,r13,r13,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,
68,s47,,,,,,,s48,,,s49,,,,,,,,,,,s50,s51,s52,,,,,,,,,,,,,,,,,,,,41,,,,,,,88,45,,,46,,
